Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
191;Sts_Peres;2020-10-01T06:00:00+02:00;100.0;1.26111;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-11-01T20:00:00+01:00;294.0;3.26945;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-12-01T19:00:00+01:00;649.0;6.91111;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-11-01T09:00:00+01:00;68.0;1.015;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-01T17:00:00+02:00;872.0;26.80222;Pré-saturé;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-01T22:00:00+02:00;552.0;6.28778;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-07-01T18:00:00+02:00;741.0;9.15667;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-01T14:00:00+02:00;851.0;29.92833;Pré-saturé;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-01T10:00:00+02:00;797.0;14.16167;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-01T12:00:00+02:00;850.0;18.96111;Pré-saturé;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-07-01T11:00:00+02:00;659.0;7.595;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-09-22T23:00:00+02:00;523.0;4.39611;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-09-22T22:00:00+02:00;502.0;6.11778;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-09-22T21:00:00+02:00;783.0;8.31278;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-09-22T17:00:00+02:00;920.0;14.80556;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-01T20:00:00+02:00;1099.0;14.04111;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-11-02T06:00:00+01:00;46.0;0.58945;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-12-02T00:00:00+01:00;104.0;1.30056;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-12-01T13:00:00+01:00;687.0;10.86167;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-11-01T21:00:00+01:00;251.0;2.84611;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-01T21:00:00+02:00;941.0;11.24444;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-07-01T08:00:00+02:00;380.0;4.42334;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-07-01T09:00:00+02:00;569.0;5.995;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-01T11:00:00+02:00;757.0;23.16667;Pré-saturé;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-07-01T05:00:00+02:00;76.0;0.88389;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-02T00:00:00+02:00;570.0;6.75222;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-07-01T10:00:00+02:00;694.0;7.06722;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-12-01T22:00:00+01:00;235.0;2.52166;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-11-02T01:00:00+01:00;57.0;1.04;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-01T13:00:00+02:00;788.0;31.67889;Saturé;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-11-02T11:00:00+01:00;533.0;7.60722;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-07-01T19:00:00+02:00;868.0;9.74111;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-10-01T09:00:00+02:00;781.0;11.29945;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-08-16T03:00:00+02:00;148.0;1.69889;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-08-16T06:00:00+02:00;54.0;0.77778;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-08-16T07:00:00+02:00;64.0;0.715;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-08-16T08:00:00+02:00;83.0;0.90944;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-08-16T09:00:00+02:00;105.0;1.25667;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-08-16T11:00:00+02:00;194.0;2.42389;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-08-16T12:00:00+02:00;246.0;3.01222;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
191;Sts_Peres;2020-08-16T19:00:00+02:00;346.0;3.85945;Fluide;114;Sts_Peres-Voltaire;119;Sts_Peres-Universite;Invalide;2005-01-01;2019-06-01;48.8572803712,2.33245419072;"{""type"": ""LineString"", ""coordinates"": [[2.3332577811, 48.858260067], [2.3316506003, 48.8563006755]]}"
