,PA01H:CO,AUB:CO,PA04C:CO,A1:CO,BASCH:CO,AUT:CO,OBJECTID
,PARIS 1er Les Halles,AUBERVILLIERS,Paris Centre,Autoroute A1 - Saint-Denis,Place Victor Basch,Boulevard Péripherique Auteuil,0
,PA01H,AUB,PA04C,A1,BASCH,AUT,1
,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,Monoxyde de carbone,2
,CO,CO,CO,CO,CO,CO,3
,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,4
2019/01/12 15:00:00+00,,,0.295000,0.569000,,0.521000,283
2019/01/12 16:00:00+00,,,0.314000,0.616000,,0.554000,284
2019/01/12 17:00:00+00,,,0.337000,0.521000,,0.499000,285
2019/01/12 18:00:00+00,,,0.345000,0.523000,,0.530000,286
2019/01/12 19:00:00+00,,,0.357000,0.573000,,0.534000,287
2019/01/12 20:00:00+00,,,0.357000,0.455000,,0.511000,288
2019/01/12 21:00:00+00,,,0.327000,0.472000,,0.400000,289
2019/01/12 22:00:00+00,,,0.324000,0.421000,,0.370000,290
2019/01/12 23:00:00+00,,,0.301000,0.513000,,0.367000,291
2019/01/13 00:00:00+00,,,0.289000,0.415000,,0.360000,292
2019/01/13 01:00:00+00,,,0.225000,0.376000,,0.319000,293
2019/01/13 02:00:00+00,,,0.228000,0.383000,,0.292000,294
2019/01/13 03:00:00+00,,,0.212000,0.281000,,0.241000,295
2019/01/13 04:00:00+00,,,0.209000,0.275000,,0.258000,296
2019/01/13 05:00:00+00,,,0.207000,0.262000,,0.234000,297
2019/01/13 06:00:00+00,,,0.210000,0.302000,,0.229000,298
2019/01/13 07:00:00+00,,,0.212000,0.391000,,0.246000,299
2019/01/13 08:00:00+00,,,0.218000,0.276000,,0.265000,300
2019/01/13 09:00:00+00,,,0.236000,0.307000,,0.372000,301
2019/01/13 10:00:00+00,,,0.265000,0.350000,,0.363000,302
2019/01/13 11:00:00+00,,,0.259000,0.360000,,0.356000,303
2019/01/13 12:00:00+00,,,0.262000,0.386000,,0.433000,304
2019/01/13 13:00:00+00,,,0.238000,0.401000,,0.375000,305
2019/01/13 14:00:00+00,,,0.240000,0.354000,,0.361000,306
2019/01/13 15:00:00+00,,,0.222000,0.421000,,0.399000,307
2019/01/13 16:00:00+00,,,0.225000,0.413000,,0.433000,308
2019/01/13 17:00:00+00,,,0.251000,0.359000,,0.460000,309
2019/01/13 18:00:00+00,,,0.257000,0.367000,,0.386000,310
2019/01/13 19:00:00+00,,,0.258000,0.366000,,0.391000,311
2019/01/13 20:00:00+00,,,0.245000,0.328000,,0.364000,312
2019/01/13 21:00:00+00,,,0.257000,0.367000,,0.359000,313
2019/01/13 22:00:00+00,,,0.269000,0.411000,,0.360000,314
2019/01/13 23:00:00+00,,,0.239000,0.285000,,0.328000,315
2019/01/14 00:00:00+00,,,0.215000,0.279000,,0.273000,316
2019/01/14 01:00:00+00,,,0.217000,0.178000,,0.121000,317
2019/01/14 02:00:00+00,,,0.213000,0.160000,,0.107000,318
2019/01/14 03:00:00+00,,,0.213000,0.216000,,0.114000,319
2019/01/14 04:00:00+00,,,0.223000,0.204000,,0.133000,320
2019/01/14 05:00:00+00,,,0.224000,0.259000,,0.185000,321
2019/01/14 06:00:00+00,,,0.234000,0.345000,,0.225000,322
2019/01/14 07:00:00+00,,,0.263000,0.452000,,0.384000,323
2019/01/14 08:00:00+00,,,0.272000,0.638000,,0.631000,324
2019/01/14 09:00:00+00,,,0.297000,0.735000,,0.808000,325
2019/01/14 10:00:00+00,,,0.259000,0.451000,,0.460000,326
2019/01/14 11:00:00+00,,,0.250000,0.385000,,0.314000,327
2019/01/14 12:00:00+00,,,0.259000,0.368000,,0.390000,328
2019/01/14 13:00:00+00,,,0.242000,0.436000,,0.346000,329
2019/01/14 14:00:00+00,,,0.282000,0.400000,,0.369000,330
2019/01/14 15:00:00+00,,,0.244000,0.390000,,0.378000,331
2019/01/14 16:00:00+00,,,0.250000,0.497000,,0.450000,332
2019/01/14 17:00:00+00,,,0.247000,0.561000,,0.714000,333
2019/01/14 18:00:00+00,,,0.287000,0.541000,,0.911000,334
2019/01/14 19:00:00+00,,,0.310000,0.528000,,0.859000,335
2019/01/14 20:00:00+00,,,0.320000,0.591000,,0.699000,336
2019/01/14 21:00:00+00,,,0.305000,0.525000,,0.538000,337
2019/01/14 22:00:00+00,,,0.288000,0.697000,,0.498000,338
2019/01/14 23:00:00+00,,,0.328000,0.644000,,0.453000,339
2019/01/15 00:00:00+00,,,0.290000,0.510000,,0.306000,340
2019/01/15 01:00:00+00,,,0.223000,0.603000,,0.272000,341
2019/01/15 02:00:00+00,,,0.215000,0.383000,,0.240000,342
2019/01/15 03:00:00+00,,,0.227000,0.414000,,0.226000,343
2019/01/15 04:00:00+00,,,0.196000,0.385000,,0.211000,344
2019/01/15 05:00:00+00,,,0.180000,0.481000,,0.267000,345
2019/01/15 06:00:00+00,,,0.195000,0.499000,,0.388000,346
2019/01/15 07:00:00+00,,,0.231000,0.656000,,0.578000,347
2019/01/15 08:00:00+00,,,0.303000,1.003000,,0.983000,348
2019/01/15 09:00:00+00,,,0.332000,1.068000,,0.999000,349
2019/01/15 10:00:00+00,,,0.327000,0.760000,,0.655000,350
